term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.10179698288232789,1.5515522562259536,-1.4725735493824972,0.1408660613877347,0.004579995244420725,2.072438974685789,Adult HTN odds ratio from height-informed pediatric HTN phenotype
peds_htn_3plus_days,2.5763282379632377,0.38244962127064996,2.4744833543044082,0.013342903842538124,1.2329586759574631,5.569632827444393,Adult HTN odds ratio from height-informed pediatric HTN phenotype
median_peds_bmi_clean,1.0416080677299169,0.03796384195381572,1.0738043322432331,0.28291038785801875,0.9674802725174847,1.123551554785153,Adult HTN odds ratio from height-informed pediatric HTN phenotype
AgeAtFirstT1,1.004531025117788,0.06215415768568861,0.07273513300508024,0.9420168904852811,0.8893034950980826,1.1365661035994092,Adult HTN odds ratio from height-informed pediatric HTN phenotype
sex_factorM,0.9714697092399361,0.3344280212302259,-0.08655132998850396,0.931028153691317,0.505093210765796,1.8814736626707744,Adult HTN odds ratio from height-informed pediatric HTN phenotype
YearsFromFirstT1ToLast,1.0958990098166423,0.06065507051127908,1.5097672656297467,0.13110282048878857,0.9740922896876406,1.237438699811833,Adult HTN odds ratio from height-informed pediatric HTN phenotype
n_valid_peds_bp_days,1.0076466721212518,0.01518596426077901,0.501620073730087,0.6159347962737944,0.9787628399596516,1.040397849689706,Adult HTN odds ratio from height-informed pediatric HTN phenotype
