Trajectory,N,AgeDx_median,AgeDx_Q1,AgeDx_Q3,SBP_median,SBP_Q1,SBP_Q3,DBP_median,DBP_Q1,DBP_Q3,BPdays_median,BPdays_Q1,BPdays_Q3,slope_median,slope_Q1,slope_Q3
Rapid decline,9,12,9,13,110.36363636363636,105.07142857142857,119.4,72.17857142857143,67.64285714285714,74.16666666666667,15,11,28,-5.688435906023877,-8.011422687997989,-3.926702774654258
Slow decline,2,6.5,5.25,7.75,111.74892857142856,109.87446428571428,113.62339285714286,65.4591369047619,64.32956845238095,66.58870535714286,22.5,13.75,31.25,-1.2807760569273756,-1.287347974606674,-1.2742041392480774
Stable,16,10,5.5,11.25,110.97619047619048,107.65865384615384,119.08194444444443,67.61111111111111,65.15203373015873,70.85714285714286,11,7,22.5,1.3549688098335693,-0.06490809906487485,2.783439044967678
