age_group,N,slope,pct_decline_gt3,pct_decline_gt5
Adult (>=18y),256,"-0.76 [-4.18, 2.69]",34.8,19.9
Pediatric (<18y),36,"1.4 [-3.1, 6.98]",27.8,19.4
