HTN_group_simple,N,slope,pct_decline_gt3,pct_decline_gt5
Adult HTN,183,"-1.17 [-4.26, 2.63]",35,21.3
No adult HTN,69,"-0.51 [-4.17, 2.69]",36.2,17.4
