peds_htn_group,N,N_with_slope,N_with_adult_htn_phenotype,pct_adult_htn,median_egfr_slope,median_followup_years
No pediatric HTN,2119,253,1309,35.39405379896177,-0.2802290513944217,6.943189
Pediatric HTN on >=3 days,276,39,51,13.043478260869565,-1.2939198922859794,5.9630385
