term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.21539376729939114,1.4236342377602875,-1.0784282995087129,0.28084266346078207,0.012022175946911203,3.3902702774908797,Odds ratio for rapid eGFR decline (< -3)
peds_htn_3plus_days,2.1911249171716745,0.49254247913735755,1.5925835963076094,0.11125363585720535,0.8440002969706968,5.907910406237266,Odds ratio for rapid eGFR decline (< -3)
median_peds_bmi_clean,0.9572991163297233,0.04978154529613874,-0.8766176272091626,0.3806943615639123,0.8657048757531737,1.0544308242958624,Odds ratio for rapid eGFR decline (< -3)
AgeAtFirstT1,1.1803106909314645,0.06881218808232631,2.409132827197812,0.015990477065018757,1.0351463425804468,1.359928025173617,Odds ratio for rapid eGFR decline (< -3)
sex_factorM,2.0679507678828415,0.4927595361569287,1.4744679634132105,0.14035563728006603,0.7949798602712106,5.559461276241445,Odds ratio for rapid eGFR decline (< -3)
YearsFromFirstT1ToLast,0.935349689885605,0.06897186716842262,-0.9690156650843568,0.33253737331895655,0.8133025384647732,1.0694298194169212,Odds ratio for rapid eGFR decline (< -3)
n_valid_peds_bp_days,1.0238154291011026,0.019236318968927513,1.2235327034654713,0.22112855989465915,0.9844818212646469,1.0637509136196057,Odds ratio for rapid eGFR decline (< -3)
