term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),4.617581882125841,6.902671208974063,0.6689557915090306,0.5052552146898621,-9.09787877980089,18.333042544052574,Linear model for eGFR slope
peds_htn_burden,0.022381714696156792,4.251761906956986,0.005264103490728043,0.9958116540223474,-8.425778629799582,8.470542059191898,Linear model for eGFR slope
median_peds_bmi_clean,0.12389407589116974,0.23378677058570904,0.5299447679643133,0.5974698443629252,-0.34063525748899576,0.5884234092713352,Linear model for eGFR slope
AgeAtFirstT1,-0.5061583167489632,0.3174229441118735,-1.594586422116264,0.11434998885666822,-1.1368709454338286,0.12455431193590227,Linear model for eGFR slope
sex_factorM,-3.0821419923236313,2.2487811677185823,-1.3705833349051497,0.17395178834968836,-7.550422272431317,1.3861382877840542,Linear model for eGFR slope
YearsFromFirstT1ToLast,-0.12822440845998126,0.30518556706754574,-0.4201522689688722,0.6753868552902822,-0.7346216296199403,0.4781728126999777,Linear model for eGFR slope
n_valid_peds_bp_days,-0.054659179200024575,0.08482046875450618,-0.6444102467556895,0.5209668824740503,-0.2231956438973664,0.11387728549731724,Linear model for eGFR slope
