sex,Age,BP_Percentile,Type,height_percentile,bp_value
F,10,90th,Systolic,5th,109
F,10,90th,Diastolic,5th,72
F,10,95th,Systolic,5th,113
F,10,95th,Diastolic,5th,75
F,11,50th,Systolic,5th,98
F,11,50th,Diastolic,5th,60
F,11,90th,Systolic,5th,111
F,11,90th,Diastolic,5th,74
F,11,95th,Systolic,5th,115
F,11,95th,Diastolic,5th,76
F,12,50th,Systolic,5th,102
F,12,50th,Diastolic,5th,61
F,12,90th,Systolic,5th,114
F,12,90th,Diastolic,5th,75
F,12,95th,Systolic,5th,118
F,12,95th,Diastolic,5th,78
F,13,50th,Systolic,5th,104
F,13,50th,Diastolic,5th,62
F,13,90th,Systolic,5th,116
F,13,90th,Diastolic,5th,75
F,13,95th,Systolic,5th,121
F,13,95th,Diastolic,5th,79
F,14,50th,Systolic,5th,105
F,14,50th,Diastolic,5th,63
F,14,90th,Systolic,5th,118
F,14,90th,Diastolic,5th,76
F,14,95th,Systolic,5th,123
F,14,95th,Diastolic,5th,80
F,15,50th,Systolic,5th,105
F,15,50th,Diastolic,5th,64
F,15,90th,Systolic,5th,118
F,15,90th,Diastolic,5th,76
F,15,95th,Systolic,5th,124
F,15,95th,Diastolic,5th,80
F,16,50th,Systolic,5th,106
F,16,50th,Diastolic,5th,64
F,16,90th,Systolic,5th,119
F,16,90th,Diastolic,5th,76
F,16,95th,Systolic,5th,124
F,16,95th,Diastolic,5th,80
F,17,50th,Systolic,5th,107
F,17,50th,Diastolic,5th,64
F,17,90th,Systolic,5th,120
F,17,90th,Diastolic,5th,76
F,17,95th,Systolic,5th,125
F,17,95th,Diastolic,5th,80
M,1,50th,Systolic,10th,85
M,1,50th,Diastolic,10th,40
M,1,90th,Systolic,10th,99
M,1,90th,Diastolic,10th,52
M,1,95th,Systolic,10th,102
M,1,95th,Diastolic,10th,54
M,2,50th,Systolic,10th,87
M,2,50th,Diastolic,10th,43
M,2,90th,Systolic,10th,100
M,2,90th,Diastolic,10th,55
M,2,95th,Systolic,10th,105
M,2,95th,Diastolic,10th,58
M,3,50th,Systolic,10th,89
M,3,50th,Diastolic,10th,46
M,3,90th,Systolic,10th,102
M,3,90th,Diastolic,10th,58
M,3,95th,Systolic,10th,106
M,3,95th,Diastolic,10th,61
M,4,50th,Systolic,10th,90
M,4,50th,Diastolic,10th,49
M,4,90th,Systolic,10th,103
M,4,90th,Diastolic,10th,61
M,4,95th,Systolic,10th,107
M,4,95th,Diastolic,10th,64
M,5,50th,Systolic,10th,92
M,5,50th,Diastolic,10th,51
M,5,90th,Systolic,10th,104
M,5,90th,Diastolic,10th,64
M,5,95th,Systolic,10th,108
M,5,95th,Diastolic,10th,67
M,6,50th,Systolic,10th,93
M,6,50th,Diastolic,10th,54
M,6,90th,Systolic,10th,105
M,6,90th,Diastolic,10th,66
M,6,95th,Systolic,10th,109
M,6,95th,Diastolic,10th,70
M,7,50th,Systolic,10th,94
M,7,50th,Diastolic,10th,56
M,7,90th,Systolic,10th,107
M,7,90th,Diastolic,10th,68
M,7,95th,Systolic,10th,110
M,7,95th,Diastolic,10th,71
M,8,50th,Systolic,10th,96
M,8,50th,Diastolic,10th,57
M,8,90th,Systolic,10th,108
M,8,90th,Diastolic,10th,70
M,8,95th,Systolic,10th,112
M,8,95th,Diastolic,10th,73
M,9,50th,Systolic,10th,97
M,9,50th,Diastolic,10th,58
M,9,90th,Systolic,10th,108
M,9,90th,Diastolic,10th,71
M,9,95th,Systolic,10th,112
M,9,95th,Diastolic,10th,74
M,10,50th,Systolic,10th,98
M,10,50th,Diastolic,10th,60
M,10,90th,Systolic,10th,109
M,10,90th,Diastolic,10th,73
M,10,95th,Systolic,10th,113
M,10,95th,Diastolic,10th,76
M,11,50th,Systolic,10th,99
M,11,50th,Diastolic,10th,61
M,11,90th,Systolic,10th,111
M,11,90th,Diastolic,10th,74
M,11,95th,Systolic,10th,114
M,11,95th,Diastolic,10th,78
M,12,50th,Systolic,10th,101
M,12,50th,Diastolic,10th,62
M,12,90th,Systolic,10th,114
M,12,90th,Diastolic,10th,75
M,12,95th,Systolic,10th,117
M,12,95th,Diastolic,10th,78
M,13,50th,Systolic,10th,104
M,13,50th,Diastolic,10th,60
M,13,90th,Systolic,10th,116
M,13,90th,Diastolic,10th,74
M,13,95th,Systolic,10th,120
M,13,95th,Diastolic,10th,78
M,14,50th,Systolic,10th,106
M,14,50th,Diastolic,10th,60
M,14,90th,Systolic,10th,120
M,14,90th,Diastolic,10th,74
M,14,95th,Systolic,10th,125
M,14,95th,Diastolic,10th,78
M,15,50th,Systolic,10th,110
M,15,50th,Diastolic,10th,62
M,15,90th,Systolic,10th,124
M,15,90th,Diastolic,10th,76
M,15,95th,Systolic,10th,129
M,15,95th,Diastolic,10th,79
M,16,50th,Systolic,10th,112
M,16,50th,Diastolic,10th,64
M,16,90th,Systolic,10th,127
M,16,90th,Diastolic,10th,78
M,16,95th,Systolic,10th,131
M,16,95th,Diastolic,10th,81
M,17,50th,Systolic,10th,115
M,17,50th,Diastolic,10th,66
M,17,90th,Systolic,10th,129
M,17,90th,Diastolic,10th,79
M,17,95th,Systolic,10th,133
M,17,95th,Diastolic,10th,82
F,1,50th,Systolic,10th,85
F,1,50th,Diastolic,10th,42
F,1,90th,Systolic,10th,99
F,1,90th,Diastolic,10th,55
F,1,95th,Systolic,10th,102
F,1,95th,Diastolic,10th,59
F,2,50th,Systolic,10th,87
F,2,50th,Diastolic,10th,46
F,2,90th,Systolic,10th,101
F,2,90th,Diastolic,10th,58
F,2,95th,Systolic,10th,105
F,2,95th,Diastolic,10th,63
F,3,50th,Systolic,10th,89
F,3,50th,Diastolic,10th,48
F,3,90th,Systolic,10th,103
F,3,90th,Diastolic,10th,61
F,3,95th,Systolic,10th,106
F,3,95th,Diastolic,10th,65
F,4,50th,Systolic,10th,90
F,4,50th,Diastolic,10th,51
F,4,90th,Systolic,10th,104
F,4,90th,Diastolic,10th,63
F,4,95th,Systolic,10th,108
F,4,95th,Diastolic,10th,67
F,5,50th,Systolic,10th,91
F,5,50th,Diastolic,10th,52
F,5,90th,Systolic,10th,105
F,5,90th,Diastolic,10th,65
F,5,95th,Systolic,10th,109
F,5,95th,Diastolic,10th,69
F,6,50th,Systolic,10th,92
F,6,50th,Diastolic,10th,54
F,6,90th,Systolic,10th,106
F,6,90th,Diastolic,10th,67
F,6,95th,Systolic,10th,109
F,6,95th,Diastolic,10th,71
F,7,50th,Systolic,10th,93
F,7,50th,Diastolic,10th,55
F,7,90th,Systolic,10th,106
F,7,90th,Diastolic,10th,68
F,7,95th,Systolic,10th,110
F,7,95th,Diastolic,10th,72
F,8,50th,Systolic,10th,94
F,8,50th,Diastolic,10th,56
F,8,90th,Systolic,10th,107
F,8,90th,Diastolic,10th,70
F,8,95th,Systolic,10th,111
F,8,95th,Diastolic,10th,73
F,9,50th,Systolic,10th,95
F,9,50th,Diastolic,10th,58
F,9,90th,Systolic,10th,108
F,9,90th,Diastolic,10th,71
F,9,95th,Systolic,10th,112
F,9,95th,Diastolic,10th,74
F,10,50th,Systolic,10th,97
F,10,50th,Diastolic,10th,59
F,10,90th,Systolic,10th,110
F,10,90th,Diastolic,10th,73
F,10,95th,Systolic,10th,114
F,10,95th,Diastolic,10th,75
F,11,50th,Systolic,10th,99
F,11,50th,Diastolic,10th,60
F,11,90th,Systolic,10th,112
F,11,90th,Diastolic,10th,74
F,11,95th,Systolic,10th,116
F,11,95th,Diastolic,10th,77
F,12,50th,Systolic,10th,102
F,12,50th,Diastolic,10th,61
F,12,90th,Systolic,10th,115
F,12,90th,Diastolic,10th,75
F,12,95th,Systolic,10th,119
F,12,95th,Diastolic,10th,78
F,13,50th,Systolic,10th,105
F,13,50th,Diastolic,10th,62
F,13,90th,Systolic,10th,117
F,13,90th,Diastolic,10th,75
F,13,95th,Systolic,10th,122
F,13,95th,Diastolic,10th,79
F,14,50th,Systolic,10th,106
F,14,50th,Diastolic,10th,63
F,14,90th,Systolic,10th,118
F,14,90th,Diastolic,10th,76
F,14,95th,Systolic,10th,123
F,14,95th,Diastolic,10th,80
F,15,50th,Systolic,10th,106
F,15,50th,Diastolic,10th,64
F,15,90th,Systolic,10th,119
F,15,90th,Diastolic,10th,76
F,15,95th,Systolic,10th,124
F,15,95th,Diastolic,10th,80
F,16,50th,Systolic,10th,107
F,16,50th,Diastolic,10th,64
F,16,90th,Systolic,10th,120
F,16,90th,Diastolic,10th,76
F,16,95th,Systolic,10th,125
F,16,95th,Diastolic,10th,80
F,17,50th,Systolic,10th,108
F,17,50th,Diastolic,10th,64
F,17,90th,Systolic,10th,121
F,17,90th,Diastolic,10th,76
F,17,95th,Systolic,10th,125
F,17,95th,Diastolic,10th,80
M,1,50th,Systolic,25th,86
M,1,50th,Diastolic,25th,40
M,1,90th,Systolic,25th,99
M,1,90th,Diastolic,25th,53
M,1,95th,Systolic,25th,103
M,1,95th,Diastolic,25th,55
M,2,50th,Systolic,25th,88
M,2,50th,Diastolic,25th,44
M,2,90th,Systolic,25th,101
M,2,90th,Diastolic,25th,56
M,2,95th,Systolic,25th,105
M,2,95th,Diastolic,25th,58
M,3,50th,Systolic,25th,89
M,3,50th,Diastolic,25th,46
M,3,90th,Systolic,25th,102
M,3,90th,Diastolic,25th,59
M,3,95th,Systolic,25th,107
M,3,95th,Diastolic,25th,61
M,4,50th,Systolic,25th,91
M,4,50th,Diastolic,25th,49
M,4,90th,Systolic,25th,104
M,4,90th,Diastolic,25th,62
M,4,95th,Systolic,25th,108
M,4,95th,Diastolic,25th,65
M,5,50th,Systolic,25th,93
M,5,50th,Diastolic,25th,52
M,5,90th,Systolic,25th,105
M,5,90th,Diastolic,25th,65
M,5,95th,Systolic,25th,109
M,5,95th,Diastolic,25th,68
M,6,50th,Systolic,25th,94
M,6,50th,Diastolic,25th,55
M,6,90th,Systolic,25th,106
M,6,90th,Diastolic,25th,67
M,6,95th,Systolic,25th,110
M,6,95th,Diastolic,25th,70
M,7,50th,Systolic,25th,95
M,7,50th,Diastolic,25th,57
M,7,90th,Systolic,25th,108
M,7,90th,Diastolic,25th,69
M,7,95th,Systolic,25th,111
M,7,95th,Diastolic,25th,72
M,8,50th,Systolic,25th,97
M,8,50th,Diastolic,25th,58
M,8,90th,Systolic,25th,109
M,8,90th,Diastolic,25th,70
M,8,95th,Systolic,25th,112
M,8,95th,Diastolic,25th,73
M,9,50th,Systolic,25th,98
M,9,50th,Diastolic,25th,59
M,9,90th,Systolic,25th,109
M,9,90th,Diastolic,25th,72
M,9,95th,Systolic,25th,113
M,9,95th,Diastolic,25th,75
M,10,50th,Systolic,25th,99
M,10,50th,Diastolic,25th,61
M,10,90th,Systolic,25th,111
M,10,90th,Diastolic,25th,74
M,10,95th,Systolic,25th,114
M,10,95th,Diastolic,25th,77
M,11,50th,Systolic,25th,101
M,11,50th,Diastolic,25th,62
M,11,90th,Systolic,25th,112
M,11,90th,Diastolic,25th,75
M,11,95th,Systolic,25th,116
M,11,95th,Diastolic,25th,78
M,12,50th,Systolic,25th,102
M,12,50th,Diastolic,25th,62
M,12,90th,Systolic,25th,115
M,12,90th,Diastolic,25th,75
M,12,95th,Systolic,25th,118
M,12,95th,Diastolic,25th,78
M,13,50th,Systolic,25th,105
M,13,50th,Diastolic,25th,61
