sex,Age,BP_Percentile,Type,height_percentile,bp_value
F,14,50th,Systolic,50th,108
F,14,50th,Diastolic,50th,65
F,14,90th,Systolic,50th,122
F,14,90th,Diastolic,50th,76
F,14,95th,Systolic,50th,125
F,14,95th,Diastolic,50th,80
F,15,50th,Systolic,50th,108
F,15,50th,Diastolic,50th,65
F,15,90th,Systolic,50th,122
F,15,90th,Diastolic,50th,77
F,15,95th,Systolic,50th,126
F,15,95th,Diastolic,50th,81
F,16,50th,Systolic,50th,109
F,16,50th,Diastolic,50th,66
F,16,90th,Systolic,50th,123
F,16,90th,Diastolic,50th,77
F,16,95th,Systolic,50th,127
F,16,95th,Diastolic,50th,81
F,17,50th,Systolic,50th,110
F,17,50th,Diastolic,50th,66
F,17,90th,Systolic,50th,124
F,17,90th,Diastolic,50th,77
F,17,95th,Systolic,50th,127
F,17,95th,Diastolic,50th,81
M,1,50th,Systolic,75th,87
M,1,50th,Diastolic,75th,41
M,1,90th,Systolic,75th,100
M,1,90th,Diastolic,75th,54
M,1,95th,Systolic,75th,104
M,1,95th,Diastolic,75th,56
M,2,50th,Systolic,75th,89
M,2,50th,Diastolic,75th,45
M,2,90th,Systolic,75th,103
M,2,90th,Diastolic,75th,57
M,2,95th,Systolic,75th,107
M,2,95th,Diastolic,75th,60
M,3,50th,Systolic,75th,91
M,3,50th,Diastolic,75th,48
M,3,90th,Systolic,75th,104
M,3,90th,Diastolic,75th,60
M,3,95th,Systolic,75th,108
M,3,95th,Diastolic,75th,63
M,4,50th,Systolic,75th,93
M,4,50th,Diastolic,75th,51
M,4,90th,Systolic,75th,105
M,4,90th,Diastolic,75th,63
M,4,95th,Systolic,75th,109
M,4,95th,Diastolic,75th,67
M,5,50th,Systolic,75th,95
M,5,50th,Diastolic,75th,54
M,5,90th,Systolic,75th,107
M,5,90th,Diastolic,75th,66
M,5,95th,Systolic,75th,110
M,5,95th,Diastolic,75th,70
M,6,50th,Systolic,75th,96
M,6,50th,Diastolic,75th,57
M,6,90th,Systolic,75th,109
M,6,90th,Diastolic,75th,68
M,6,95th,Systolic,75th,112
M,6,95th,Diastolic,75th,72
M,7,50th,Systolic,75th,98
M,7,50th,Diastolic,75th,58
M,7,90th,Systolic,75th,110
M,7,90th,Diastolic,75th,70
M,7,95th,Systolic,75th,114
M,7,95th,Diastolic,75th,73
M,8,50th,Systolic,75th,99
M,8,50th,Diastolic,75th,59
M,8,90th,Systolic,75th,111
M,8,90th,Diastolic,75th,72
M,8,95th,Systolic,75th,115
M,8,95th,Diastolic,75th,75
M,9,50th,Systolic,75th,100
M,9,50th,Diastolic,75th,61
M,9,90th,Systolic,75th,112
M,9,90th,Diastolic,75th,74
M,9,95th,Systolic,75th,116
M,9,95th,Diastolic,75th,76
M,10,50th,Systolic,75th,101
M,10,50th,Diastolic,75th,63
M,10,90th,Systolic,75th,113
M,10,90th,Diastolic,75th,75
M,10,95th,Systolic,75th,118
M,10,95th,Diastolic,75th,78
M,11,50th,Systolic,75th,103
M,11,50th,Diastolic,75th,63
M,11,90th,Systolic,75th,116
M,11,90th,Diastolic,75th,75
M,11,95th,Systolic,75th,120
M,11,95th,Diastolic,75th,78
M,12,50th,Systolic,75th,106
M,12,50th,Diastolic,75th,62
M,12,90th,Systolic,75th,119
M,12,90th,Diastolic,75th,75
M,12,95th,Systolic,75th,124
M,12,95th,Diastolic,75th,78
M,13,50th,Systolic,75th,110
M,13,50th,Diastolic,75th,63
M,13,90th,Systolic,75th,124
M,13,90th,Diastolic,75th,76
M,13,95th,Systolic,75th,128
M,13,95th,Diastolic,75th,80
M,14,50th,Systolic,75th,112
M,14,50th,Diastolic,75th,65
M,14,90th,Systolic,75th,127
M,14,90th,Diastolic,75th,78
M,14,95th,Systolic,75th,132
M,14,95th,Diastolic,75th,82
M,15,50th,Systolic,75th,114
M,15,50th,Diastolic,75th,66
M,15,90th,Systolic,75th,129
M,15,90th,Diastolic,75th,80
M,15,95th,Systolic,75th,134
M,15,95th,Diastolic,75th,84
M,16,50th,Systolic,75th,115
M,16,50th,Diastolic,75th,68
M,16,90th,Systolic,75th,131
M,16,90th,Diastolic,75th,81
M,16,95th,Systolic,75th,135
M,16,95th,Diastolic,75th,85
M,17,50th,Systolic,75th,117
M,17,50th,Diastolic,75th,69
M,17,90th,Systolic,75th,132
M,17,90th,Diastolic,75th,82
M,17,95th,Systolic,75th,137
M,17,95th,Diastolic,75th,86
F,1,50th,Systolic,75th,87
F,1,50th,Diastolic,75th,44
F,1,90th,Systolic,75th,101
F,1,90th,Diastolic,75th,57
F,1,95th,Systolic,75th,104
F,1,95th,Diastolic,75th,61
F,2,50th,Systolic,75th,90
F,2,50th,Diastolic,75th,49
F,2,90th,Systolic,75th,104
F,2,90th,Diastolic,75th,61
F,2,95th,Systolic,75th,107
F,2,95th,Diastolic,75th,65
F,3,50th,Systolic,75th,91
F,3,50th,Diastolic,75th,51
F,3,90th,Systolic,75th,105
F,3,90th,Diastolic,75th,63
F,3,95th,Systolic,75th,109
F,3,95th,Diastolic,75th,67
F,4,50th,Systolic,75th,93
F,4,50th,Diastolic,75th,54
F,4,90th,Systolic,75th,107
F,4,90th,Diastolic,75th,66
F,4,95th,Systolic,75th,110
F,4,95th,Diastolic,75th,70
F,5,50th,Systolic,75th,94
F,5,50th,Diastolic,75th,56
F,5,90th,Systolic,75th,108
F,5,90th,Diastolic,75th,68
F,5,95th,Systolic,75th,111
F,5,95th,Diastolic,75th,72
F,6,50th,Systolic,75th,96
F,6,50th,Diastolic,75th,57
F,6,90th,Systolic,75th,109
F,6,90th,Diastolic,75th,70
F,6,95th,Systolic,75th,112
F,6,95th,Diastolic,75th,73
F,7,50th,Systolic,75th,97
F,7,50th,Diastolic,75th,58
F,7,90th,Systolic,75th,110
F,7,90th,Diastolic,75th,71
F,7,95th,Systolic,75th,113
F,7,95th,Diastolic,75th,74
F,8,50th,Systolic,75th,98
F,8,50th,Diastolic,75th,60
F,8,90th,Systolic,75th,111
F,8,90th,Diastolic,75th,72
F,8,95th,Systolic,75th,115
F,8,95th,Diastolic,75th,75
F,9,50th,Systolic,75th,99
F,9,50th,Diastolic,75th,60
F,9,90th,Systolic,75th,112
F,9,90th,Diastolic,75th,73
F,9,95th,Systolic,75th,116
F,9,95th,Diastolic,75th,75
F,10,50th,Systolic,75th,101
F,10,50th,Diastolic,75th,61
F,10,90th,Systolic,75th,113
F,10,90th,Diastolic,75th,73
F,10,95th,Systolic,75th,117
F,10,95th,Diastolic,75th,76
F,11,50th,Systolic,75th,104
F,11,50th,Diastolic,75th,62
F,11,90th,Systolic,75th,116
F,11,90th,Diastolic,75th,74
F,11,95th,Systolic,75th,120
F,11,95th,Diastolic,75th,77
F,12,50th,Systolic,75th,107
F,12,50th,Diastolic,75th,64
F,12,90th,Systolic,75th,120
F,12,90th,Diastolic,75th,76
F,12,95th,Systolic,75th,124
F,12,95th,Diastolic,75th,79
F,13,50th,Systolic,75th,108
F,13,50th,Diastolic,75th,65
F,13,90th,Systolic,75th,122
F,13,90th,Diastolic,75th,76
F,13,95th,Systolic,75th,126
F,13,95th,Diastolic,75th,80
F,14,50th,Systolic,75th,109
F,14,50th,Diastolic,75th,66
F,14,90th,Systolic,75th,123
F,14,90th,Diastolic,75th,77
F,14,95th,Systolic,75th,126
F,14,95th,Diastolic,75th,81
F,15,50th,Systolic,75th,109
F,15,50th,Diastolic,75th,66
F,15,90th,Systolic,75th,123
F,15,90th,Diastolic,75th,77
F,15,95th,Systolic,75th,127
F,15,95th,Diastolic,75th,82
F,16,50th,Systolic,75th,109
F,16,50th,Diastolic,75th,66
F,16,90th,Systolic,75th,124
F,16,90th,Diastolic,75th,78
F,16,95th,Systolic,75th,127
F,16,95th,Diastolic,75th,82
F,17,50th,Systolic,75th,110
F,17,50th,Diastolic,75th,66
F,17,90th,Systolic,75th,124
F,17,90th,Diastolic,75th,78
F,17,95th,Systolic,75th,128
F,17,95th,Diastolic,75th,82
M,1,50th,Systolic,90th,88
M,1,50th,Diastolic,90th,42
M,1,90th,Systolic,90th,101
M,1,90th,Diastolic,90th,54
M,1,95th,Systolic,90th,105
M,1,95th,Diastolic,90th,57
M,2,50th,Systolic,90th,90
M,2,50th,Diastolic,90th,46
M,2,90th,Systolic,90th,103
M,2,90th,Diastolic,90th,58
M,2,95th,Systolic,90th,107
M,2,95th,Diastolic,90th,61
M,3,50th,Systolic,90th,92
M,3,50th,Diastolic,90th,49
M,3,90th,Systolic,90th,105
M,3,90th,Diastolic,90th,61
M,3,95th,Systolic,90th,109
M,3,95th,Diastolic,90th,64
M,4,50th,Systolic,90th,94
M,4,50th,Diastolic,90th,52
M,4,90th,Systolic,90th,106
M,4,90th,Diastolic,90th,64
M,4,95th,Systolic,90th,110
M,4,95th,Diastolic,90th,67
M,5,50th,Systolic,90th,96
M,5,50th,Diastolic,90th,55
M,5,90th,Systolic,90th,108
M,5,90th,Diastolic,90th,67
M,5,95th,Systolic,90th,111
M,5,95th,Diastolic,90th,70
M,6,50th,Systolic,90th,97
M,6,50th,Diastolic,90th,57
M,6,90th,Systolic,90th,110
M,6,90th,Diastolic,90th,69
M,6,95th,Systolic,90th,113
M,6,95th,Diastolic,90th,72
M,7,50th,Systolic,90th,98
M,7,50th,Diastolic,90th,59
M,7,90th,Systolic,90th,111
M,7,90th,Diastolic,90th,71
M,7,95th,Systolic,90th,115
M,7,95th,Diastolic,90th,74
M,8,50th,Systolic,90th,99
M,8,50th,Diastolic,90th,60
M,8,90th,Systolic,90th,112
M,8,90th,Diastolic,90th,72
M,8,95th,Systolic,90th,116
M,8,95th,Diastolic,90th,75
M,9,50th,Systolic,90th,101
M,9,50th,Diastolic,90th,62
M,9,90th,Systolic,90th,113
M,9,90th,Diastolic,90th,74
M,9,95th,Systolic,90th,118
M,9,95th,Diastolic,90th,77
M,10,50th,Systolic,90th,102
M,10,50th,Diastolic,90th,63
M,10,90th,Systolic,90th,115
M,10,90th,Diastolic,90th,75
M,10,95th,Systolic,90th,120
M,10,95th,Diastolic,90th,78
M,11,50th,Systolic,90th,104
M,11,50th,Diastolic,90th,63
M,11,90th,Systolic,90th,117
M,11,90th,Diastolic,90th,76
M,11,95th,Systolic,90th,123
M,11,95th,Diastolic,90th,78
M,12,50th,Systolic,90th,108
M,12,50th,Diastolic,90th,63
M,12,90th,Systolic,90th,121
M,12,90th,Diastolic,90th,76
M,12,95th,Systolic,90th,126
M,12,95th,Diastolic,90th,79
M,13,50th,Systolic,90th,111
M,13,50th,Diastolic,90th,64
M,13,90th,Systolic,90th,126
M,13,90th,Diastolic,90th,77
M,13,95th,Systolic,90th,130
M,13,95th,Diastolic,90th,81
M,14,50th,Systolic,90th,113
M,14,50th,Diastolic,90th,66
M,14,90th,Systolic,90th,128
M,14,90th,Diastolic,90th,79
M,14,95th,Systolic,90th,133
M,14,95th,Diastolic,90th,83
M,15,50th,Systolic,90th,114
M,15,50th,Diastolic,90th,67
M,15,90th,Systolic,90th,130
M,15,90th,Diastolic,90th,81
M,15,95th,Systolic,90th,135
M,15,95th,Diastolic,90th,85
M,16,50th,Systolic,90th,116
M,16,50th,Diastolic,90th,69
M,16,90th,Systolic,90th,131
M,16,90th,Diastolic,90th,82
M,16,95th,Systolic,90th,136
M,16,95th,Diastolic,90th,86
M,17,50th,Systolic,90th,118
M,17,50th,Diastolic,90th,70
M,17,90th,Systolic,90th,133
M,17,90th,Diastolic,90th,82
M,17,95th,Systolic,90th,138
M,17,95th,Diastolic,90th,86
F,1,50th,Systolic,90th,88
F,1,50th,Diastolic,90th,45
F,1,90th,Systolic,90th,102
F,1,90th,Diastolic,90th,58
F,1,95th,Systolic,90th,105
F,1,95th,Diastolic,90th,62
F,2,50th,Systolic,90th,91
F,2,50th,Diastolic,90th,50
F,2,90th,Systolic,90th,105
F,2,90th,Diastolic,90th,62
F,2,95th,Systolic,90th,108
F,2,95th,Diastolic,90th,66
F,3,50th,Systolic,90th,92
F,3,50th,Diastolic,90th,53
F,3,90th,Systolic,90th,106
F,3,90th,Diastolic,90th,64
F,3,95th,Systolic,90th,110
F,3,95th,Diastolic,90th,68
F,4,50th,Systolic,90th,94
F,4,50th,Diastolic,90th,55
F,4,90th,Systolic,90th,108
F,4,90th,Diastolic,90th,67
F,4,95th,Systolic,90th,111
F,4,95th,Diastolic,90th,70
F,5,50th,Systolic,90th,95
F,5,50th,Diastolic,90th,57
F,5,90th,Systolic,90th,109
F,5,90th,Diastolic,90th,69
F,5,95th,Systolic,90th,112
F,5,95th,Diastolic,90th,73
F,6,50th,Systolic,90th,97
F,6,50th,Diastolic,90th,58
F,6,90th,Systolic,90th,110
F,6,90th,Diastolic,90th,71
F,6,95th,Systolic,90th,113
F,6,95th,Diastolic,90th,74
F,7,50th,Systolic,90th,98
F,7,50th,Diastolic,90th,59
F,7,90th,Systolic,90th,111
F,7,90th,Diastolic,90th,72
F,7,95th,Systolic,90th,114
F,7,95th,Diastolic,90th,74
F,8,50th,Systolic,90th,99
F,8,50th,Diastolic,90th,61
F,8,90th,Systolic,90th,112
F,8,90th,Diastolic,90th,73
F,8,95th,Systolic,90th,116
F,8,95th,Diastolic,90th,75
F,9,50th,Systolic,90th,100
F,9,50th,Diastolic,90th,61
F,9,90th,Systolic,90th,113
F,9,90th,Diastolic,90th,73
F,9,95th,Systolic,90th,117
F,9,95th,Diastolic,90th,75
F,10,50th,Systolic,90th,102
F,10,50th,Diastolic,90th,61
F,10,90th,Systolic,90th,115
F,10,90th,Diastolic,90th,73
F,10,95th,Systolic,90th,119
F,10,95th,Diastolic,90th,76
F,11,50th,Systolic,90th,105
F,11,50th,Diastolic,90th,63
F,11,90th,Systolic,90th,118
F,11,90th,Diastolic,90th,75
F,11,95th,Systolic,90th,123
F,11,95th,Diastolic,90th,77
F,12,50th,Systolic,90th,108
F,12,50th,Diastolic,90th,65
F,12,90th,Systolic,90th,122
F,12,90th,Diastolic,90th,76
F,12,95th,Systolic,90th,125
F,12,95th,Diastolic,90th,79
F,13,50th,Systolic,90th,108
F,13,50th,Diastolic,90th,65
F,13,90th,Systolic,90th,123
F,13,90th,Diastolic,90th,76
F,13,95th,Systolic,90th,126
F,13,95th,Diastolic,90th,80
F,14,50th,Systolic,90th,109
F,14,50th,Diastolic,90th,66
F,14,90th,Systolic,90th,123
F,14,90th,Diastolic,90th,77
F,14,95th,Systolic,90th,127
F,14,95th,Diastolic,90th,81
F,15,50th,Systolic,90th,109
F,15,50th,Diastolic,90th,67
F,15,90th,Systolic,90th,123
F,15,90th,Diastolic,90th,78
F,15,95th,Systolic,90th,127
F,15,95th,Diastolic,90th,82
F,16,50th,Systolic,90th,110
F,16,50th,Diastolic,90th,67
F,16,90th,Systolic,90th,124
F,16,90th,Diastolic,90th,78
F,16,95th,Systolic,90th,128
F,16,95th,Diastolic,90th,82
F,17,50th,Systolic,90th,110
F,17,50th,Diastolic,90th,66
F,17,90th,Systolic,90th,125
F,17,90th,Diastolic,90th,78
F,17,95th,Systolic,90th,128
F,17,95th,Diastolic,90th,82
M,1,50th,Systolic,95th,88
M,1,50th,Diastolic,95th,42
M,1,90th,Systolic,95th,101
M,1,90th,Diastolic,95th,54
M,1,95th,Systolic,95th,105
M,1,95th,Diastolic,95th,57
M,2,50th,Systolic,95th,91
M,2,50th,Diastolic,95th,46
M,2,90th,Systolic,95th,104
M,2,90th,Diastolic,95th,58
M,2,95th,Systolic,95th,108
M,2,95th,Diastolic,95th,61
M,3,50th,Systolic,95th,92
M,3,50th,Diastolic,95th,49
M,3,90th,Systolic,95th,105
M,3,90th,Diastolic,95th,61
M,3,95th,Systolic,95th,109
M,3,95th,Diastolic,95th,64
M,4,50th,Systolic,95th,94
M,4,50th,Diastolic,95th,52
M,4,90th,Systolic,95th,107
M,4,90th,Diastolic,95th,64
M,4,95th,Systolic,95th,110
M,4,95th,Diastolic,95th,68
M,5,50th,Systolic,95th,96
M,5,50th,Diastolic,95th,55
M,5,90th,Systolic,95th,108
M,5,90th,Diastolic,95th,67
M,5,95th,Systolic,95th,112
M,5,95th,Diastolic,95th,71
M,6,50th,Systolic,95th,98
M,6,50th,Diastolic,95th,58
M,6,90th,Systolic,95th,110
M,6,90th,Diastolic,95th,69
M,6,95th,Systolic,95th,114
M,6,95th,Diastolic,95th,73
M,7,50th,Systolic,95th,99
M,7,50th,Diastolic,95th,59
M,7,90th,Systolic,95th,111
M,7,90th,Diastolic,95th,71
M,7,95th,Systolic,95th,116
M,7,95th,Diastolic,95th,74
M,8,50th,Systolic,95th,100
M,8,50th,Diastolic,95th,60
M,8,90th,Systolic,95th,112
M,8,90th,Diastolic,95th,73
M,8,95th,Systolic,95th,117
M,8,95th,Diastolic,95th,75
M,9,50th,Systolic,95th,101
M,9,50th,Diastolic,95th,62
M,9,90th,Systolic,95th,114
M,9,90th,Diastolic,95th,74
M,9,95th,Systolic,95th,119
M,9,95th,Diastolic,95th,77
M,10,50th,Systolic,95th,103
M,10,50th,Diastolic,95th,64
M,10,90th,Systolic,95th,116
M,10,90th,Diastolic,95th,76
M,10,95th,Systolic,95th,121
M,10,95th,Diastolic,95th,78
M,11,50th,Systolic,95th,106
M,11,50th,Diastolic,95th,63
M,11,90th,Systolic,95th,118
M,11,90th,Diastolic,95th,76
M,11,95th,Systolic,95th,124
M,11,95th,Diastolic,95th,78
M,12,50th,Systolic,95th,109
M,12,50th,Diastolic,95th,63
M,12,90th,Systolic,95th,122
M,12,90th,Diastolic,95th,76
M,12,95th,Systolic,95th,128
M,12,95th,Diastolic,95th,79
M,13,50th,Systolic,95th,112
M,13,50th,Diastolic,95th,65
M,13,90th,Systolic,95th,126
M,13,90th,Diastolic,95th,77
M,13,95th,Systolic,95th,131
M,13,95th,Diastolic,95th,81
M,14,50th,Systolic,95th,113
M,14,50th,Diastolic,95th,67
M,14,90th,Systolic,95th,129
M,14,90th,Diastolic,95th,80
M,14,95th,Systolic,95th,134
M,14,95th,Diastolic,95th,84
M,15,50th,Systolic,95th,114
M,15,50th,Diastolic,95th,68
M,15,90th,Systolic,95th,130
M,15,90th,Diastolic,95th,81
M,15,95th,Systolic,95th,135
M,15,95th,Diastolic,95th,85
M,16,50th,Systolic,95th,116
M,16,50th,Diastolic,95th,69
M,16,90th,Systolic,95th,132
M,16,90th,Diastolic,95th,82
M,16,95th,Systolic,95th,137
M,16,95th,Diastolic,95th,86
M,17,50th,Systolic,95th,118
M,17,50th,Diastolic,95th,70
M,17,90th,Systolic,95th,134
M,17,90th,Diastolic,95th,83
M,17,95th,Systolic,95th,138
M,17,95th,Diastolic,95th,87
F,1,50th,Systolic,95th,88
F,1,50th,Diastolic,95th,46
F,1,90th,Systolic,95th,102
F,1,90th,Diastolic,95th,58
F,1,95th,Systolic,95th,105
F,1,95th,Diastolic,95th,62
F,2,50th,Systolic,95th,91
F,2,50th,Diastolic,95th,51
F,2,90th,Systolic,95th,106
F,2,90th,Diastolic,95th,62
F,2,95th,Systolic,95th,109
F,2,95th,Diastolic,95th,66
F,3,50th,Systolic,95th,93
F,3,50th,Diastolic,95th,53
F,3,90th,Systolic,95th,107
F,3,90th,Diastolic,95th,65
F,3,95th,Systolic,95th,110
F,3,95th,Diastolic,95th,69
F,4,50th,Systolic,95th,94
F,4,50th,Diastolic,95th,55
F,4,90th,Systolic,95th,108
F,4,90th,Diastolic,95th,67
F,4,95th,Systolic,95th,112
F,4,95th,Diastolic,95th,71
F,5,50th,Systolic,95th,96
F,5,50th,Diastolic,95th,57
F,5,90th,Systolic,95th,110
F,5,90th,Diastolic,95th,70
F,5,95th,Systolic,95th,113
F,5,95th,Diastolic,95th,73
F,6,50th,Systolic,95th,97
F,6,50th,Diastolic,95th,59
F,6,90th,Systolic,95th,111
F,6,90th,Diastolic,95th,71
F,6,95th,Systolic,95th,114
F,6,95th,Diastolic,95th,74
F,7,50th,Systolic,95th,99
F,7,50th,Diastolic,95th,60
F,7,90th,Systolic,95th,112
F,7,90th,Diastolic,95th,72
F,7,95th,Systolic,95th,115
F,7,95th,Diastolic,95th,75
F,8,50th,Systolic,95th,100
F,8,50th,Diastolic,95th,61
F,8,90th,Systolic,95th,113
F,8,90th,Diastolic,95th,73
F,8,95th,Systolic,95th,117
F,8,95th,Diastolic,95th,75
F,9,50th,Systolic,95th,101
F,9,50th,Diastolic,95th,61
F,9,90th,Systolic,95th,114
F,9,90th,Diastolic,95th,73
F,9,95th,Systolic,95th,118
F,9,95th,Diastolic,95th,75
F,10,50th,Systolic,95th,103
F,10,50th,Diastolic,95th,62
F,10,90th,Systolic,95th,116
F,10,90th,Diastolic,95th,73
F,10,95th,Systolic,95th,120
F,10,95th,Diastolic,95th,76
F,11,50th,Systolic,95th,106
F,11,50th,Diastolic,95th,64
F,11,90th,Systolic,95th,120
F,11,90th,Diastolic,95th,75
F,11,95th,Systolic,95th,124
F,11,95th,Diastolic,95th,77
F,12,50th,Systolic,95th,108
F,12,50th,Diastolic,95th,65
F,12,90th,Systolic,95th,122
F,12,90th,Diastolic,95th,76
F,12,95th,Systolic,95th,126
F,12,95th,Diastolic,95th,79
F,13,50th,Systolic,95th,109
F,13,50th,Diastolic,95th,66
F,13,90th,Systolic,95th,123
F,13,90th,Diastolic,95th,76
F,13,95th,Systolic,95th,127
F,13,95th,Diastolic,95th,81
F,14,50th,Systolic,95th,109
F,14,50th,Diastolic,95th,66
F,14,90th,Systolic,95th,123
F,14,90th,Diastolic,95th,77
F,14,95th,Systolic,95th,127
F,14,95th,Diastolic,95th,82
F,15,50th,Systolic,95th,109
F,15,50th,Diastolic,95th,67
F,15,90th,Systolic,95th,124
F,15,90th,Diastolic,95th,78
F,15,95th,Systolic,95th,128
F,15,95th,Diastolic,95th,82
F,16,50th,Systolic,95th,110
F,16,50th,Diastolic,95th,67
F,16,90th,Systolic,95th,124
F,16,90th,Diastolic,95th,78
F,16,95th,Systolic,95th,128
F,16,95th,Diastolic,95th,82
F,17,50th,Systolic,95th,111
F,17,50th,Diastolic,95th,67
F,17,90th,Systolic,95th,125
F,17,90th,Diastolic,95th,78
F,17,95th,Systolic,95th,128
F,17,95th,Diastolic,95th,82
